Copos; Cups; Tazze;
Canecas; Mugs; Tazze grandi;
Garrafas; Bottles; Bottiglie;
Frascos; Jars; Barattoli;
Potes; Pots; Pentole;
Tigelas; Bowls; Ciotole;
Pratos; Plates; Piatti;
Travessas; Platters; Piatti fondi;
Bandejas; Trays; Vassoi;
Caixas; Boxes; Scatole;
Sacos; Bags; Borse;
Malas; Suitcases; Valigie;
Sacolas; Tote bags; Borse a tracolla;
Baldinhos; Buckets; Secchi;
Latas; Cans; Lattine;
Panelas; Pans; Padelle;
Frigideiras; Frying pans; Padelle per friggere;
Assadeiras; Baking dishes; Pirofile;
Formas; Cake pans; Stampi per dolci;
Prateleiras; Shelves; Scaffali;
Gavetas; Drawers; Cassetti;
Freezers; Freezers; Congelatori;
Geladeiras; Refrigerators; Frigoriferi;
Estantes; Bookshelves; Librerie;
Armários; Cabinets; Armadi;
Caixas de papelão; Cardboard boxes; Scatole di cartone;
Vasos; Vases; Vasi;
Jarros; Pitchers; Brocche;
Garrafas térmicas; Thermoses; Termos;
Taças; Glasses; Calici;
Mochilas; Backpacks; Zaini;
Bolsas; Bags; Borse;
Estojos; Pencil cases; Astucci;
Malas; Suitcases; Valigie;
Camas; Beds; Letti;
Guarda-roupas; Wardrobes; Armadi;
Cômodas; Dressers; Cassettiere;
Mesinhas de cabeceira; Nightstands; Comodini;
Colchões; Mattresses; Materassi;
Travesseiros; Pillows; Cuscini;
Sofás; Sofas; Divani;
Poltronas; Armchairs; Poltrone;
Pufes; Ottomans; Poggiapiedi;
Mesas de jantar; Dining tables; Tavoli da pranzo;
Cadeiras de jantar; Dining chairs; Sedie da pranzo;
Cristaleiras; China cabinets; Vitrine;
Estantes; Bookshelves; Librerie;
Sofás-cama; Sofa beds; Divani letto;
Mesas de centro; Coffee tables; Tavolini da caffè;
Tapetes; Rugs; Tappeti;
Cortinas; Curtains; Tende;
Persianas; Blinds; Tapparelle;
Espelhos; Mirrors; Specchi;
Luminárias; Lamps; Lampade;
Armários de banheiro; Bathroom cabinets; Mobiletti del bagno;
Pias de banheiro; Bathroom sinks; Lavandini del bagno;
Banheiras; Bathtubs; Vasche da bagno;
Chuveiros; Showers; Docce;
Vasos sanitários; Toilets; Wc;
Bancos; Benches; Panche;
Banquinhos; Stools; Sgabelli;
Sapateiras; Shoe racks; Portascarpe;
Porta-copos; Coasters; Sottobicchieri;
Cadeiras; Chairs; Sedie;
Mesas; Tables; Tavoli;
Armários; Wardrobes; Armadi;
Prateleiras; Shelves; Scaffali;
Mesas de cabeceira; Nightstands; Comodini;
Abajures; Table lamps; Abat-jour;
Armários de cozinha; Kitchen cabinets; Armadietti da cucina;
Mesas de escritório; Desks; Scrivanie;
Escadas; Ladders; Scale;
Homens; Males; Uomini;
Mulheres; Females; Donne;
Amigos; Friends; Amici;
Conhecidos; Acquaintances; Conoscenti;
Familiares; Relatives; Parenti;
Pais; Parents; Genitori;
Mães; Mothers; Madri;
Pais; Fathers; Padri;
Irmãos; Siblings; Fratelli;
Irmãs; Sisters; Sorelle;
Irmãos; Brothers; Fratelli;
Avós; Grandparents; Nonni;
Avós; Grandmothers and Grandfathers; Nonni;
Avós; Grandmothers and grandfathers; Nonni;
Tios; Uncles and Aunts; Zii;
Tias; Aunts; Zie;
Tios; Uncles; Zii;
Primos; Cousins; Cugini;
Desconhecidos; Strangers; Sconosciuti;
Filhos; Children; Figli;
Filhas; Daughters; Figlie;
Filhos; Sons; Figli;
Cães ; Dogs ; Cani ;
Gatos ; Cats ; Gatti ;
Leões ; Lions ; Leoni ;
Elefantes ; Elephants ; Elefanti ;
Girafas ; Giraffes ; Giraffe ;
Tigres ; Tigers ; Tigri ;
Zebras ; Zebras ; Zebre ;
Pandas ; Pandas ; Panda ;
Ursos ; Bears ; Orsi ;
Cavalos ; Horses ; Cavalli ;
Macacos ; Monkeys ; Scimmie ;
Crocodilos ; Crocodiles ; Coccodrilli ;
Rinocerontes ; Rhinoceroses ; Rinoceronti ;
Camelos ; Camels ; Cammelli ;
Hipopótamos ; Hippopotamuses ; Ippopotami ;
Cangurus ; Kangaroos ; Canguri ;
Coalas ; Koalas ; Koala ;
Pinguins ; Penguins ; Pinguini ;
Baleias ; Whales ; Balene ;
Golfinhos ; Dolphins ; Delfini ;
Esquilos ; Squirrels ; Scoiattoli ;
Castores ; Beavers ; Castori ;
Lobos ; Wolves ; Lupi ;
Raposas ; Foxes ; Volpi ;
Coiotes ; Coyotes ; Coyote ;
Onças ; Jaguars ; Giaguari ;
Panteras ; Panthers ; Pantere ;
Guepardos ; Cheetahs ; Ghepardi ;
Urubus ; Vultures ; Avvoltoi ;
Águias ; Eagles ; Aquile ;
Falcões ; Falcons ; Falchi ;
Corujas ; Owls ; Gufi ;
Gaivotas ; Seagulls ; Gabbiani ;
Patos ; Ducks ; Anatre ;
Galinhas ; Chickens ; Galline ;
Pombas ; Pigeons ; Piccioni ;
Pavões ; Peacocks ; Pavoni ;
