Quem?;Who?;Chi?;
O que?;What?;Che cosa?;
Que?;What?;Cosa?;
O que?;What?;Che?;
Onde?;Where?;Dove?;
Quando?;When?;Quando?;
Por que?;Why?;Perché?;
Como?;How?;Come?;
Quanto?;How much?;Quanto?;
Quanta?;How much?;Quanta?;
Quantos?;How many?;Quanti?;
Quantas?;How many?;Quante?;
Qual?;Which?;Quale?;
Quais?;Which?;Quali?;
De quem?;Whose?;Di chi?;
Para quem?;To whom?;A chi?;
Com quem?;With whom?;Con chi?;
De onde?;From where?;Da dove?;
Até quando?;Until when?;Fino a quando?;
Desde quando?;Since when?;Da quando?;
Que horas?;At what time?;A che ora?;
Quanto tempo?;How long?;Quanto tempo?;
Com que frequência?;How often?;Quanto spesso?;
De que maneira?;In what way?;In che modo?;
Quanto pesa?;How much does it weigh?;Quanto pesa?;
Quanto custa?;How much does it cost?;Quanto costa?;
Quanto tempo dura?;How long does it last?;Quanto dura?;
Em que ponto?;At what point?;A che punto?;
